Symbol,MarketCap,P/E,EPS(ttm),Fair_Price,Buy_Price,Price,Target_Price,52W_Range,52W_High,52W_Mid,52W_Low,Volume,RSI_14,ATR,Stocatics,Price_Next_Point,Position_Status
FMBH,744950000.0,16.91,2.41,25.16,12.58,40.73,51.20,22.24 - 45.00,-9.49%,33.62,83.14%,21838,50.31,1.10,10.5,40.73,Sell
VER,11370000000.0,49.94,1.00,22.02,11.01,50.14,47.88,30.05 - 50.69,-1.09%,40.37,66.86%,707142,62.18,0.67,76.44,50.14,Sell
AAN,925380000.0,9.21,3.05,2.5,1.25,28.11,36.86,16.20 - 37.49,-25.02%,26.84,73.52%,402786,45.40,1.23,45.56,28.11,Sell
HI,3250000000.0,17.82,2.47,36.12,18.06,44.08,58.50,26.35 - 52.84,-16.58%,39.59,67.25%,511257,48.37,1.40,8.56,44.08,Sell
TACO,307010000.0,14.13,0.59,6.57,3.29,8.32,13.75,7.23 - 11.99,-30.61%,9.61,15.08%,234753,35.91,0.31,4.76,8.32,Sell
SFST,391230000.0,12.41,3.98,28.07,14.04,49.46,58.83,23.16 - 56.42,-12.34%,39.79,113.56%,11620,43.48,1.23,7.02,49.46,Sell
FND,12470000000.0,44.25,2.66,362.01,181.0,117.75,128.10,67.38 - 128.50,-8.37%,97.94,74.76%,704998,53.01,3.57,16.49,117.76,Buy
MOS,11790000000.0,8.37,3.67,16.05,8.03,30.72,39.37,16.01 - 38.23,-19.64%,27.12,91.88%,4980596,45.94,1.21,16.03,30.73,Sell
KOP,644870000.0,5.93,5.07,37.91,18.95,30.05,44.00,18.92 - 39.44,-23.81%,29.18,58.83%,108778,43.91,1.00,20.52,30.05,Sell
AFL,37870000000.0,6.80,8.29,27.33,13.66,56.36,56.10,33.37 - 57.64,-2.22%,45.5,68.92%,1782233,55.71,1.00,54.83,56.36,Sell
FSTR,186210000.0,9.02,1.92,11.61,5.8,17.29,20.25,11.91 - 19.47,-11.20%,15.69,45.17%,5271,39.18,0.48,9.09,17.29,Sell
QRTEA,4310000000.0,3.10,3.39,1.41,0.7,10.49,17.00,4.97 - 14.62,-28.25%,9.79,111.02%,2679585,29.43,0.40,2.19,10.49,Sell
KOF,2930000000.0,19.71,2.89,52.24,26.12,57.03,59.07,36.16 - 59.07,-3.45%,47.61,57.72%,75426,58.22,0.99,40.81,57.03,Sell
PBT,248430000.0,35.85,0.15,3.6,1.8,5.27,-,2.11 - 5.71,-7.71%,3.91,149.76%,45104,50.84,0.21,33.86,5.27,Sell
ULBI,132020000.00000001,33.10,0.25,10.04,5.02,8.21,3.25,5.10 - 11.78,-30.31%,8.44,60.96%,18253,47.72,0.28,19.29,8.21,Sell
SCPL,2280000000.0,20.39,0.85,15.9,7.95,17.33,20.97,11.76 - 21.74,-20.29%,16.75,47.36%,295340,54.46,0.79,57.76,17.33,Sell
TCBK,1190000000.0,11.41,3.46,20.63,10.31,39.44,51.00,23.38 - 51.66,-23.65%,37.52,68.69%,68769,41.74,1.20,7.58,39.44,Sell
SILC,299920000.0,40.07,1.07,42.88,21.44,43.03,57.00,29.24 - 59.27,-27.40%,44.26,47.16%,35678,48.18,1.35,10.54,43.03,Sell
RDN,4390000000.0,8.13,2.90,41.94,20.97,23.53,27.25,13.70 - 25.31,-7.03%,19.5,71.75%,1052096,56.57,0.59,66.43,23.53,Sell
ENV,4210000000.0,269.86,0.29,78.26,39.13,77.45,84.90,61.00 - 88.45,-12.44%,74.72,26.97%,238159,59.57,1.45,87.37,77.45,Sell
MC,4030000000.0000005,13.00,4.66,11.17,5.58,60.57,59.86,28.09 - 63.18,-4.13%,45.63,115.61%,290716,56.15,1.58,40.59,60.58,Sell
BJ,8000000000.0,19.43,2.93,13.62,6.81,56.90,52.50,36.07 - 54.62,4.17%,45.34,57.75%,1804502,71.80,1.53,89.98,56.95,Sell
OCSL,1290000000.0,2.95,2.42,3.34,1.67,7.15,7.36,4.52 - 7.31,-2.19%,5.91,58.19%,724116,59.52,0.11,62.38,7.15,Sell
VOD,46500000000.0,377.56,0.04,42.47,21.23,16.99,25.97,13.14 - 20.36,-16.55%,16.75,29.30%,2473457,55.20,0.23,81.6,16.99,Buy
WEC,30590000000.0,23.89,4.08,48.84,24.42,97.59,97.31,80.55 - 106.85,-8.67%,93.7,21.15%,907005,62.51,1.54,81.67,97.6,Sell
TDC,5450000000.0,58.56,0.90,90.03,45.02,52.41,47.64,17.99 - 59.58,-12.03%,38.78,191.33%,954147,55.82,1.89,55.74,52.43,Sell
ILPT,1790000000.0,19.34,1.42,9.17,4.58,27.48,26.75,18.76 - 27.71,-0.83%,23.23,46.48%,207618,61.25,0.46,77.53,27.48,Sell
INFO,46740000000.0,76.05,1.55,86.06,43.03,118.10,122.38,76.04 - 120.64,-2.11%,98.34,55.30%,1480171,55.17,2.12,42.35,118.1,Sell
VICI,15830000000.0,12.68,2.31,15.57,7.79,29.30,34.79,22.04 - 33.35,-12.14%,27.7,32.94%,5598489,34.64,0.61,3.33,29.3,Sell
WHD,2500000000.0,56.09,0.58,206.32,103.16,32.42,38.20,16.11 - 44.20,-26.65%,30.16,101.24%,197641,35.15,1.52,0.57,32.42,Buy
